employee_id,age,years_experience,salary,department,education_level,hire_date,is_remote,performance_score
1,34.0,8.2,72500.0,Engineering,Bachelor,2018-03-15,True,3.8
2,28.0,3.1,51000.0,Marketing,Bachelor,2020-07-22,False,3.2
3,45.0,18.5,112000.0,Engineering,Master,2012-01-10,True,4.5
4,52.0,25.0,135000.0,Engineering,PhD,2008-06-05,False,4.7
5,31.0,6.8,65000.0,Sales,High School,2019-02-14,False,3.1
6,29.0,4.2,58000.0,HR,Bachelor,2020-09-01,True,3.6
7,,12.1,89000.0,Finance,Master,2015-11-20,False,4.1
8,41.0,15.3,98000.0,Engineering,Master,2013-04-08,True,
9,26.0,1.5,45000.0,Marketing,Bachelor,2022-01-30,False,
10,33.0,7.5,69000.0,Sales,Bachelor,2018-08-17,False,3.5
11,47.0,20.2,118000.0,Finance,PhD,2010-03-25,False,4.6
12,30.0,5.0,61000.0,HR,Bachelor,2020-05-11,True,3.3
13,36.0,10.4,83000.0,Engineering,Bachelor,2016-09-03,False,3.9
14,43.0,17.8,105000.0,Engineering,Master,2013-12-15,True,4.4
15,27.0,2.3,48000.0,Sales,High School,2021-06-20,False,3.0
16,55.0,28.0,142000.0,Engineering,PhD,2005-02-28,False,4.8
17,32.0,6.1,63000.0,Marketing,Bachelor,2019-10-07,True,3.4
18,39.0,13.7,92000.0,Finance,Master,2014-07-14,False,4.2
19,48.0,21.5,125000.0,Engineering,PhD,2011-01-19,True,4.5
20,25.0,0.8,42000.0,HR,High School,2023-03-01,False,2.7
21,37.0,11.2,87000.0,Sales,Bachelor,2016-05-30,False,3.7
22,44.0,16.9,102000.0,Finance,Master,2013-08-22,False,4.3
23,29.0,4.0,56000.0,Marketing,Bachelor,2021-02-10,True,
24,35.0,9.3,76000.0,Engineering,Bachelor,2017-11-05,False,
25,50.0,23.1,130000.0,Engineering,Master,2009-04-16,True,4.6
26,31.0,5.7,62000.0,HR,Bachelor,2020-01-15,False,3.4
27,,16.0,99000.0,Engineering,Master,2014-03-27,False,4.2
28,28.0,3.5,53000.0,Sales,High School,2021-09-08,False,3.0
29,,19.4,115000.0,Finance,PhD,2011-07-12,False,4.5
30,33.0,8.0,70000.0,Marketing,Bachelor,2018-06-25,True,3.6
31,38.0,12.5,90000.0,Engineering,Bachelor,2015-10-03,False,4.0
32,27.0,2.8,50000.0,HR,Bachelor,2022-04-18,True,3.2
33,53.0,26.2,138000.0,Engineering,PhD,2006-09-29,False,4.7
34,40.0,14.1,95000.0,Finance,Master,2014-01-07,False,4.2
35,30.0,5.3,59000.0,Sales,Bachelor,2020-11-23,False,3.2
36,,10.0,82000.0,Marketing,Master,2016-07-14,True,3.9
37,49.0,22.0,127000.0,Engineering,PhD,2010-05-31,True,4.5
38,26.0,1.2,44000.0,HR,High School,2022-08-09,False,2.8
39,34.0,8.7,73000.0,Sales,Bachelor,2018-02-21,False,3.6
40,41.0,15.8,100000.0,Finance,Master,2013-06-16,False,4.3
41,35.0,9.6,78000.0,Engineering,Bachelor,2017-04-02,True,3.9
42,29.0,4.5,57000.0,Marketing,Bachelor,2021-01-25,False,3.2
43,44.0,17.2,104000.0,Engineering,Master,2013-10-11,False,4.3
44,32.0,6.4,64000.0,HR,Bachelor,2019-07-30,True,3.5
45,56.0,29.0,145000.0,Engineering,PhD,2004-12-06,False,4.9
46,28.0,3.0,52000.0,Sales,High School,2021-05-14,False,2.9
47,39.0,13.2,91000.0,Finance,Master,2014-09-19,False,4.1
48,43.0,16.5,101000.0,Engineering,Master,2013-11-28,True,4.3
49,25.0,0.5,41000.0,Marketing,High School,2023-06-01,False,2.6
50,37.0,11.8,88000.0,Engineering,Bachelor,2016-03-15,False,3.8
51,47.0,20.7,120000.0,Finance,PhD,2010-09-22,False,4.5
52,30.0,5.1,60000.0,HR,Bachelor,2020-07-04,True,3.3
53,42.0,15.5,97000.0,Engineering,Master,2013-02-14,False,4.2
54,27.0,2.0,47000.0,Sales,High School,2022-10-03,False,3.0
55,36.0,10.7,84000.0,Marketing,Master,2016-01-19,True,4.0
56,51.0,24.3,132000.0,Engineering,PhD,2008-08-07,True,
57,31.0,5.9,62000.0,Sales,Bachelor,2019-12-11,False,3.3
